"model_id","auc","logloss","aucpr","mean_per_class_error","rmse","mse"
"XGBoost_grid__1_AutoML_20200915_111018_model_3",0.8688067805492568,0.4456490841437431,0.8426538582866737,0.19498412698412695,0.3758981067913513,0.14129938668932218
"XGBoost_grid__1_AutoML_20200915_111018_model_1",0.8666127770219199,0.4481692358270809,0.8365195064183617,0.1933968253968254,0.3772948540824091,0.14235140691706635
"GBM_grid__1_AutoML_20200915_111018_model_1",0.8661088556311414,0.4538207477215443,0.8380353044334434,0.19536507936507935,0.3793475875814252,0.1439045922038471
"XGBoost_3_AutoML_20200915_111018",0.8644382202066011,0.4507718050015518,0.8347026261250522,0.1958730158730159,0.37839896392834954,0.1431857759020484
"XGBoost_2_AutoML_20200915_111018",0.8626769624590577,0.4566048246709398,0.8311294031848437,0.19853968253968257,0.38092467105136146,0.14510360501558794
"XGBoost_1_AutoML_20200915_111018",0.860218453010834,0.45957713938194944,0.8280968461318553,0.19911111111111113,0.38218648636880576,0.14606651036293336
"GBM_grid__1_AutoML_20200915_111018_model_2",0.8597728798185942,0.48674682942434594,0.8272364583671884,0.20146031746031745,0.3934906261117409,0.1548348728378099
"GBM_2_AutoML_20200915_111018",0.8588877238599143,0.49368813180226234,0.820142153042317,0.2023492063492063,0.39657389215085703,0.1572708519356796
"GBM_5_AutoML_20200915_111018",0.8584485522801713,0.530723680548167,0.8199149735522269,0.20361904761904764,0.4151423122000421,0.17234313937879717
"XGBoost_grid__1_AutoML_20200915_111018_model_4",0.8581385900730663,0.4725035733978451,0.827443010405927,0.2022857142857143,0.3863943885629227,0.1493006235129149
"GBM_1_AutoML_20200915_111018",0.857574530612245,0.5090548926665219,0.8184439659897422,0.20349206349206347,0.4043233275029343,0.16347735316304507
"GBM_3_AutoML_20200915_111018",0.8573086621315192,0.5199442522513178,0.8198789444584442,0.1975873015873016,0.4097937928409441,0.16793095265096658
"GBM_4_AutoML_20200915_111018",0.8529295399344923,0.5501761730126232,0.8125351956579311,0.20184126984126985,0.4256086429407462,0.1811427169458635
"GLM_1_AutoML_20200915_111018",0.8526437813051146,0.4737837130489916,0.8234427728233805,0.20006349206349203,0.38687615840661344,0.14967316194345903
"XGBoost_grid__1_AutoML_20200915_111018_model_2",0.8516523618039809,0.4934677614298317,0.8206351624472307,0.21219047619047615,0.3935354210615036,0.1548701276300549
"DeepLearning_1_AutoML_20200915_111018",0.8420784036281179,0.5095680100367637,0.8078666600263872,0.20812698412698416,0.3969963188960506,0.1576060772170147
"DRF_1_AutoML_20200915_111018",0.8364223613000755,0.5092889274487383,0.7952951819891637,0.21796825396825395,0.40379219811746,0.16304813926053008
"DeepLearning_grid__1_AutoML_20200915_111018_model_1",0.826827126228269,0.8684530114872517,0.786118905267002,0.22006349206349207,0.4251042843622877,0.1807136525831727
"DeepLearning_grid__2_AutoML_20200915_111018_model_1",0.820646409674981,0.7910078966933678,0.7838347621313237,0.2292698412698413,0.43526051066853616,0.1894517121474349
"XRT_1_AutoML_20200915_111018",0.8187225235575711,0.5361953120712455,0.7749958161223772,0.2288253968253968,0.4203431881044195,0.1766883957857874
